      x     collocation  subdomain    galerkin  leastsquare  LSCollocation    exact
-1.0000e+00 -0.0000e+00 -0.0000e+00 -0.0000e+00 -0.0000e+00 -0.0000e+00 1.0842e-19
-9.1667e-01 -1.3225e-04 -2.0608e-04 -1.6776e-04 -1.6799e-04 -1.5205e-04 -3.2089e-04
-8.3333e-01 -2.6186e-04 -4.0806e-04 -3.3218e-04 -3.3264e-04 -3.0107e-04 -5.9318e-04
-7.5000e-01 -3.8643e-04 -6.0217e-04 -4.9019e-04 -4.9087e-04 -4.4429e-04 -7.9736e-04
-6.6667e-01 -5.0375e-04 -7.8501e-04 -6.3903e-04 -6.3991e-04 -5.7919e-04 -9.3413e-04
-5.8333e-01 -6.1189e-04 -9.5351e-04 -7.7619e-04 -7.7727e-04 -7.0351e-04 -1.0145e-03
-5.0000e-01 -7.0910e-04 -1.1050e-03 -8.9951e-04 -9.0075e-04 -8.1528e-04 -1.0530e-03
-4.1667e-01 -7.9388e-04 -1.2371e-03 -1.0071e-03 -1.0085e-03 -9.1276e-04 -1.0641e-03
-3.3333e-01 -8.6498e-04 -1.3479e-03 -1.0973e-03 -1.0988e-03 -9.9451e-04 -1.0595e-03
-2.5000e-01 -9.2136e-04 -1.4358e-03 -1.1688e-03 -1.1704e-03 -1.0593e-03 -1.0483e-03
-1.6667e-01 -9.6220e-04 -1.4994e-03 -1.2206e-03 -1.2223e-03 -1.1063e-03 -1.0366e-03
-8.3333e-02 -9.8694e-04 -1.5380e-03 -1.2520e-03 -1.2537e-03 -1.1347e-03 -1.0282e-03
0.0000e+00 -9.9522e-04 -1.5509e-03 -1.2625e-03 -1.2642e-03 -1.1442e-03 -1.0252e-03
8.3333e-02 -9.8694e-04 -1.5380e-03 -1.2520e-03 -1.2537e-03 -1.1347e-03 -1.0282e-03
1.6667e-01 -9.6220e-04 -1.4994e-03 -1.2206e-03 -1.2223e-03 -1.1063e-03 -1.0366e-03
2.5000e-01 -9.2136e-04 -1.4358e-03 -1.1688e-03 -1.1704e-03 -1.0593e-03 -1.0483e-03
3.3333e-01 -8.6498e-04 -1.3479e-03 -1.0973e-03 -1.0988e-03 -9.9451e-04 -1.0595e-03
4.1667e-01 -7.9388e-04 -1.2371e-03 -1.0071e-03 -1.0085e-03 -9.1276e-04 -1.0641e-03
5.0000e-01 -7.0910e-04 -1.1050e-03 -8.9951e-04 -9.0075e-04 -8.1528e-04 -1.0530e-03
5.8333e-01 -6.1189e-04 -9.5351e-04 -7.7619e-04 -7.7727e-04 -7.0351e-04 -1.0145e-03
6.6667e-01 -5.0375e-04 -7.8501e-04 -6.3903e-04 -6.3991e-04 -5.7919e-04 -9.3413e-04
7.5000e-01 -3.8643e-04 -6.0217e-04 -4.9019e-04 -4.9087e-04 -4.4429e-04 -7.9736e-04
8.3333e-01 -2.6186e-04 -4.0806e-04 -3.3218e-04 -3.3264e-04 -3.0107e-04 -5.9318e-04
9.1667e-01 -1.3225e-04 -2.0608e-04 -1.6776e-04 -1.6799e-04 -1.5205e-04 -3.2089e-04
1.0000e+00 -0.0000e+00 -0.0000e+00 -0.0000e+00 -0.0000e+00 -0.0000e+00 1.0842e-19
