      x     collocation  subdomain    galerkin  leastsquare  LSCollocation    exact
-1.0000e+00 -0.0000e+00 -0.0000e+00 -0.0000e+00 -0.0000e+00 -0.0000e+00 -1.3878e-17
-9.1667e-01 -8.9784e-03 -1.1864e-02 -1.0485e-02 -1.1035e-02 -9.8493e-03 -1.0709e-02
-8.3333e-01 -1.7778e-02 -2.3493e-02 -2.0762e-02 -2.1850e-02 -1.9503e-02 -2.1159e-02
-7.5000e-01 -2.6235e-02 -3.4668e-02 -3.0638e-02 -3.2245e-02 -2.8780e-02 -3.1129e-02
-6.6667e-01 -3.4201e-02 -4.5194e-02 -3.9941e-02 -4.2035e-02 -3.7518e-02 -4.0438e-02
-5.8333e-01 -4.1542e-02 -5.4895e-02 -4.8514e-02 -5.1058e-02 -4.5572e-02 -4.8937e-02
-5.0000e-01 -4.8142e-02 -6.3616e-02 -5.6222e-02 -5.9169e-02 -5.2812e-02 -5.6505e-02
-4.1667e-01 -5.3898e-02 -7.1223e-02 -6.2944e-02 -6.6244e-02 -5.9126e-02 -6.3048e-02
-3.3333e-01 -5.8725e-02 -7.7601e-02 -6.8582e-02 -7.2177e-02 -6.4422e-02 -6.8491e-02
-2.5000e-01 -6.2553e-02 -8.2659e-02 -7.3051e-02 -7.6881e-02 -6.8620e-02 -7.2778e-02
-1.6667e-01 -6.5326e-02 -8.6323e-02 -7.6290e-02 -8.0289e-02 -7.1662e-02 -7.5868e-02
-8.3333e-02 -6.7005e-02 -8.8543e-02 -7.8251e-02 -8.2353e-02 -7.3505e-02 -7.7732e-02
0.0000e+00 -6.7568e-02 -8.9286e-02 -7.8908e-02 -8.3045e-02 -7.4122e-02 -7.8355e-02
8.3333e-02 -6.7005e-02 -8.8543e-02 -7.8251e-02 -8.2353e-02 -7.3505e-02 -7.7732e-02
1.6667e-01 -6.5326e-02 -8.6323e-02 -7.6290e-02 -8.0289e-02 -7.1662e-02 -7.5868e-02
2.5000e-01 -6.2553e-02 -8.2659e-02 -7.3051e-02 -7.6881e-02 -6.8620e-02 -7.2778e-02
3.3333e-01 -5.8725e-02 -7.7601e-02 -6.8582e-02 -7.2177e-02 -6.4422e-02 -6.8491e-02
4.1667e-01 -5.3898e-02 -7.1223e-02 -6.2944e-02 -6.6244e-02 -5.9126e-02 -6.3048e-02
5.0000e-01 -4.8142e-02 -6.3616e-02 -5.6222e-02 -5.9169e-02 -5.2812e-02 -5.6505e-02
5.8333e-01 -4.1542e-02 -5.4895e-02 -4.8514e-02 -5.1058e-02 -4.5572e-02 -4.8937e-02
6.6667e-01 -3.4201e-02 -4.5194e-02 -3.9941e-02 -4.2035e-02 -3.7518e-02 -4.0438e-02
7.5000e-01 -2.6235e-02 -3.4668e-02 -3.0638e-02 -3.2245e-02 -2.8780e-02 -3.1129e-02
8.3333e-01 -1.7778e-02 -2.3493e-02 -2.0762e-02 -2.1850e-02 -1.9503e-02 -2.1159e-02
9.1667e-01 -8.9784e-03 -1.1864e-02 -1.0485e-02 -1.1035e-02 -9.8493e-03 -1.0709e-02
1.0000e+00 -0.0000e+00 -0.0000e+00 -0.0000e+00 -0.0000e+00 -0.0000e+00 -1.3878e-17
