      x     collocation  subdomain    galerkin  leastsquare  LSCollocation    exact
-1.0000e+00 -0.0000e+00 -0.0000e+00 -0.0000e+00 -0.0000e+00 -0.0000e+00 -8.3267e-17
-9.1667e-01 -2.2910e-02 -2.4426e-02 -2.3783e-02 -2.4349e-02 -2.3439e-02 -2.3831e-02
-8.3333e-01 -4.5365e-02 -4.8367e-02 -4.7092e-02 -4.8214e-02 -4.6412e-02 -4.7178e-02
-7.5000e-01 -6.6945e-02 -7.1375e-02 -6.9494e-02 -7.1149e-02 -6.8490e-02 -6.9599e-02
-6.6667e-01 -8.7271e-02 -9.3046e-02 -9.0593e-02 -9.2751e-02 -8.9286e-02 -9.0698e-02
-5.8333e-01 -1.0600e-01 -1.1302e-01 -1.1004e-01 -1.1266e-01 -1.0845e-01 -1.1013e-01
-5.0000e-01 -1.2284e-01 -1.3097e-01 -1.2752e-01 -1.3056e-01 -1.2568e-01 -1.2757e-01
-4.1667e-01 -1.3753e-01 -1.4664e-01 -1.4277e-01 -1.4617e-01 -1.4071e-01 -1.4278e-01
-3.3333e-01 -1.4985e-01 -1.5977e-01 -1.5556e-01 -1.5926e-01 -1.5331e-01 -1.5552e-01
-2.5000e-01 -1.5962e-01 -1.7018e-01 -1.6569e-01 -1.6964e-01 -1.6330e-01 -1.6561e-01
-1.6667e-01 -1.6669e-01 -1.7772e-01 -1.7304e-01 -1.7716e-01 -1.7054e-01 -1.7292e-01
-8.3333e-02 -1.7098e-01 -1.8229e-01 -1.7749e-01 -1.8171e-01 -1.7493e-01 -1.7735e-01
0.0000e+00 -1.7241e-01 -1.8382e-01 -1.7898e-01 -1.8324e-01 -1.7639e-01 -1.7883e-01
8.3333e-02 -1.7098e-01 -1.8229e-01 -1.7749e-01 -1.8171e-01 -1.7493e-01 -1.7735e-01
1.6667e-01 -1.6669e-01 -1.7772e-01 -1.7304e-01 -1.7716e-01 -1.7054e-01 -1.7292e-01
2.5000e-01 -1.5962e-01 -1.7018e-01 -1.6569e-01 -1.6964e-01 -1.6330e-01 -1.6561e-01
3.3333e-01 -1.4985e-01 -1.5977e-01 -1.5556e-01 -1.5926e-01 -1.5331e-01 -1.5552e-01
4.1667e-01 -1.3753e-01 -1.4664e-01 -1.4277e-01 -1.4617e-01 -1.4071e-01 -1.4278e-01
5.0000e-01 -1.2284e-01 -1.3097e-01 -1.2752e-01 -1.3056e-01 -1.2568e-01 -1.2757e-01
5.8333e-01 -1.0600e-01 -1.1302e-01 -1.1004e-01 -1.1266e-01 -1.0845e-01 -1.1013e-01
6.6667e-01 -8.7271e-02 -9.3046e-02 -9.0593e-02 -9.2751e-02 -8.9286e-02 -9.0698e-02
7.5000e-01 -6.6945e-02 -7.1375e-02 -6.9494e-02 -7.1149e-02 -6.8490e-02 -6.9599e-02
8.3333e-01 -4.5365e-02 -4.8367e-02 -4.7092e-02 -4.8214e-02 -4.6412e-02 -4.7178e-02
9.1667e-01 -2.2910e-02 -2.4426e-02 -2.3783e-02 -2.4349e-02 -2.3439e-02 -2.3831e-02
1.0000e+00 -0.0000e+00 -0.0000e+00 -0.0000e+00 -0.0000e+00 -0.0000e+00 -8.3267e-17
